LON,LAT,NUMBER,STREET,STR_NAME,STR_TYPE,STR_DIR,address,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-115.7687299,49.4967164,1213,10TH Ave S,10TH,Ave,S,1213 10TH Ave S,,CRANBROOK,,,,,4c74bfbb8c73aa88
-115.7692392,49.496709,834,13TH Street S,13TH,Street,S,834 13TH Street S,,CRANBROOK,,,,,220691dc0326d651
-115.7709714,49.4967162,1201,8TH Ave S,8TH,Ave,S,1201 8TH Ave S,,CRANBROOK,,,,,6480e7d6e809cc55
-115.771477,49.4967366,1200,LARCH Drive S,LARCH,Drive,S,1200 LARCH Drive S,,CRANBROOK,,,,,36d239ebc315ef64
-115.7698174,49.4966548,812,13TH Street S,13TH,Street,S,812 13TH Street S,,CRANBROOK,,,,,349d7b6d39273630
-115.7700308,49.4966486,808,13TH Street S,13TH,Street,S,808 13TH Street S,,CRANBROOK,,,,,2324307b57f453a3
-115.7702413,49.4966472,804,13TH Street S,13TH,Street,S,804 13TH Street S,,CRANBROOK,,,,,37a3509356bf7b0d
-115.7704517,49.4966457,800,13TH Street S,13TH,Street,S,800 13TH Street S,,CRANBROOK,,,,,81386a37d0e7864a
-115.7711959,49.4962539,1313,SPRUCE Drive,SPRUCE,Drive, ,1313 SPRUCE Drive  ,,CRANBROOK,,,,,729f02e128decd24
-115.7669972,49.4961835,1021,13TH Street S,13TH,Street,S,1021 13TH Street S,,CRANBROOK,,,,,6ed76626d3d23208
-115.7672329,49.4961839,1017,13TH Street S,13TH,Street,S,1017 13TH Street S,,CRANBROOK,,,,,1acaacb8024ef9f9
-115.7674666,49.4961844,1013,13TH Street S,13TH,Street,S,1013 13TH Street S,,CRANBROOK,,,,,f355e400cc3863ba
-115.7676981,49.4961849,1009,13TH Street S,13TH,Street,S,1009 13TH Street S,,CRANBROOK,,,,,9e02df57e4d16db4
-115.7679296,49.4961853,1005,13TH Street S,13TH,Street,S,1005 13TH Street S,,CRANBROOK,,,,,6874b0acbba41b19
-115.7681611,49.4961858,1304,10TH Ave S,10TH,Ave,S,1304 10TH Ave S,,CRANBROOK,,,,,768e788a081e1ebb
-115.769629,49.4961771,817,13TH Street S,13TH,Street,S,817 13TH Street S,,CRANBROOK,,,,,35fca7d7fca9b9b2
-115.7687387,49.4962632,1305,10TH Ave S,10TH,Ave,S,1305 10TH Ave S,,CRANBROOK,,,,,cd5c495d05b0cc82
-115.7698756,49.4961939,813,13TH Street S,13TH,Street,S,813 13TH Street S,,CRANBROOK,,,,,5849a8fd094bbeaf
-115.7701071,49.4961933,809,13TH Street S,13TH,Street,S,809 13TH Street S,,CRANBROOK,,,,,6a630232585cba82
